id,door_type,title,region,start_period,end_period,location,poster,syear,smonth,sday,eyear,emonth,eday,door
1494,festibal,창덕궁 달빛기행,서울,2022-09-01,2022-10-28,서울특별시 종로구 창덕궁,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220822_61%2F1661152647974cdu1J_JPEG%2F2815681_image2_1.jpg,2022,9,1,2022,10,28,1
1495,festibal,2022년 하반기 경복궁 야간관람,서울,2022-09-01,2022-11-06,서울특별시 종로구 경복궁,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220823_52%2F1661236096562iytAQ_JPEG%2F110_26103228_manual_image_url_1661236096529.jpg,2022,9,1,2022,11,6,1
1496,festibal,세계유산축전,서울,2022-09-03,2022-10-22,서울 종로구,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220825_144%2F1661416121867fRJWt_JPEG%2F2843571_image2_1.jpg,2022,9,3,2022,10,22,1
1497,festibal,건강서울페스티벌,서울,2022-09-04,2022-09-04,서울특별시 중구 서울광장,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220826_232%2F1661483481794PVq4s_JPEG%2F2844301_image2_1.jpg,2022,9,4,2022,9,4,1
1498,festibal,추석 농수특산물 서울장터,서울,2022-09-05,2022-09-07,서울특별시 중구 서울광장,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220825_189%2F1661415210750FxsUF_JPEG%2F2843897_image2_1.jpg,2022,9,5,2022,9,7,1
1499,festibal,경복궁 생과방,서울,2022-09-07,2022-10-20,서울특별시 종로구 경복궁,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220826_270%2F1661483343519dT1JD_JPEG%2F2844306_image2_1.jpg,2022,9,7,2022,10,20,1
1500,festibal,서커스 캬바레&서커스 캬라반,서울,2022-09-09,2022-09-25,서울특별시 마포구 문화비축기지,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220826_255%2F1661477892893k2LGx_JPEG%2F2844289_image2_1.jpg,2022,9,9,2022,9,25,1
1501,festibal,무중력영화제(MUFF),서울,2022-09-16,2022-09-17,서울특별시 양천구 메가박스 목동,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220711_196%2F1657503327674se2VU_PNG%2F2827059_image2_1.png,2022,9,16,2022,9,17,1
1502,festibal,대한민국 청년의 날,서울,2022-09-17,2022-09-17,서울특별시 송파구 평화의광장,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220707_74%2F1657156339905VSLV0_JPEG%2F2826666_image2_1.jpg,2022,9,17,2022,9,17,1
1503,festibal,라틴아메리카축제,서울,2022-09-17,2022-09-17,서울특별시 성북구 성북천 분수광장,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220825_295%2F1661389690290owmXv_JPEG%2F2843898_image2_1.jpg,2022,9,17,2022,9,17,1
1504,festibal,서울안전한마당,서울,2022-09-22,2022-09-24,서울특별시 영등포구 여의도공원문화의마당,https://search.pstatic.net/common?type=n&size=138x200&quality=85&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220706_212%2F1657105233242vQeF4_JPEG%2F2807503_image2_1.jpg,2022,9,22,2022,9,24,1
